ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,sentiment_score,sentiment
40,33,2,2025-01-03,5,Five  stars    for  the  quick  delivery.,0.3333333333333333,Positive
41,93,17,2025-05-15,3,"Average  experience,  nothing  special.",0.10357142857142858,Positive
42,72,15,2023-03-21,5,Five  stars  for  the  quick  delivery.,0.3333333333333333,Positive
43,84,15,2025-02-02,4,Exceeded  my    expectations!,0.0,Neutral
44,44,17,2023-04-20,5,"Excellent  product,    highly  recommend!",0.6,Positive
45,11,16,2023-03-23,3,Not  worth  the  money.,-0.15,Negative
46,27,5,2025-05-07,4,Five  stars  for  the  quick  delivery.,0.3333333333333333,Positive
47,19,13,2024-06-01,4,Five  stars  for  the  quick  delivery.,0.3333333333333333,Positive
48,70,17,2023-10-08,4,Shipping  was  fast  and  the  item    was  well-packaged.,0.2,Positive
49,3,7,2025-06-09,3,"Good  quality,  but  could    be  cheaper.",0.7,Positive
50,62,4,2023-01-07,1,The  product  stopped  working  after  a  month.,0.0,Neutral
51,49,17,2023-04-14,4,Five  stars  for  the  quick  delivery.,0.3333333333333333,Positive
52,75,11,2024-04-07,4,"I  love  this  product,  will  buy  again!",0.625,Positive
53,73,18,2025-12-28,4,Five  stars  for    the  quick  delivery.,0.3333333333333333,Positive
54,33,8,2023-05-03,5,"Excellent  product,  highly  recommend!",0.6,Positive
55,57,9,2025-11-03,3,Customer  support  was    very  helpful.,0.2,Positive
56,15,10,2025-12-11,3,Shipping  was  fast  and  the  item  was  well-packaged.,0.2,Positive
57,41,10,2024-04-06,2,Disappointed  with  the  performance.,-0.75,Negative
58,78,7,2024-07-16,2,"The  product    is  okay,  but  the  instructions  were  unclear.",0.5,Positive
59,98,9,2024-09-01,4,The  build  quality  is  impressive.,1.0,Positive
60,11,16,2023-12-27,4,"Great  purchase,  very  satisfied.",0.7250000000000001,Positive
61,50,19,2023-02-24,4,"Great  purchase,    very  satisfied.",0.7250000000000001,Positive
62,35,17,2023-03-18,2,"Average  experience,  nothing  special.",0.10357142857142858,Positive
63,93,2,2025-01-05,4,Five  stars  for  the  quick  delivery.,0.3333333333333333,Positive
64,86,11,2025-10-30,4,Customer  support  was  very  helpful.,0.2,Positive
65,34,3,2024-06-15,1,Not  worth  the  money.,-0.15,Negative
66,94,16,2023-06-17,4,"I  love  this  product,  will  buy    again!",0.625,Positive
67,67,13,2025-04-12,3,"Average  experience,  nothing  special.",0.10357142857142858,Positive
68,38,7,2023-03-23,3,"The  product  is  okay,  but  the  instructions  were  unclear.",0.5,Positive
69,77,12,2025-08-03,3,Five  stars  for  the  quick  delivery.,0.3333333333333333,Positive
70,93,5,2024-01-30,4,Shipping  was  fast    and  the  item  was  well-packaged.,0.2,Positive
71,24,11,2025-07-28,3,"Good  quality,  but  could  be  cheaper.",0.7,Positive
72,29,4,2023-05-29,5,The    build  quality  is  impressive.,1.0,Positive
73,68,19,2025-05-05,5,"I  love  this  product,  will  buy  again!",0.625,Positive
74,59,9,2023-05-16,3,"The  product  is  okay,  but  the  instructions  were  unclear.",0.5,Positive
75,22,3,2024-01-13,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.2,Positive
76,9,10,2025-08-31,4,"Great  purchase,  very  satisfied.",0.7250000000000001,Positive
77,74,5,2023-03-15,4,"Great  purchase,    very  satisfied.",0.7250000000000001,Positive
78,6,10,2024-12-09,5,Five  stars  for  the  quick  delivery.,0.3333333333333333,Positive
79,84,15,2024-05-28,2,The  product  arrived    late.,-0.3,Negative
80,98,16,2025-05-24,3,Not  worth  the  money.,-0.15,Negative
81,3,19,2024-09-04,4,Five  stars  for  the  quick  delivery.,0.3333333333333333,Positive
82,78,13,2023-05-02,4,Shipping    was  fast  and  the  item  was  well-packaged.,0.2,Positive
83,32,11,2025-05-26,4,The  quality  is    top-notch.,1.0,Positive
84,40,20,2023-07-17,4,"Good  quality,  but  could  be  cheaper.",0.7,Positive
85,17,6,2025-10-25,5,Five  stars  for  the  quick  delivery.,0.3333333333333333,Positive
86,78,3,2025-10-06,5,"Excellent  product,  highly  recommend!",0.6,Positive
87,89,17,2023-05-26,3,Not    worth  the  money.,-0.15,Negative
88,93,19,2025-08-26,4,Exceeded  my  expectations!,0.0,Neutral
89,60,3,2024-07-08,3,The  quality  is  top-notch.,1.0,Positive
90,47,17,2025-11-12,4,Five  stars  for  the  quick  delivery.,0.3333333333333333,Positive
91,4,16,2025-09-27,3,"Great  purchase,  very  satisfied.",0.7250000000000001,Positive
92,2,16,2023-11-21,3,Not  worth  the  money.,-0.15,Negative
93,60,13,2024-09-05,3,Not  worth  the  money.,-0.15,Negative
94,2,16,2025-03-14,4,The  quality  is  top-notch.,1.0,Positive
95,16,16,2024-04-07,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.2,Positive
96,19,13,2023-09-02,3,"Good  quality,  but  could  be  cheaper.",0.7,Positive
97,64,6,2024-01-19,3,"The  product  is  okay,  but  the  instructions  were  unclear.",0.5,Positive
98,96,3,2025-11-20,5,Exceeded  my  expectations!,0.0,Neutral
99,79,16,2025-01-29,2,"Average  experience,  nothing  special.",0.10357142857142858,Positive
100,9,2,2025-06-20,3,Not  worth  the  money.,-0.15,Negative
